group,path,required,exists,size_or_child_count,note
main_real_run,results/final_full_validation/mahnob_tailaligned/metrics,True,True,34,MAHNOB full-dataset hard-regime metrics
main_real_run,results/final_full_validation/mahnob_tailaligned/metrics/activation_audit_raw.csv,True,True,343732,MAHNOB final-path activation audit
main_real_run,results/final_full_validation/mahnob_tailaligned/metrics/activation_audit_summary.json,True,True,391,MAHNOB final-path activation summary
post_run_audit,analysis/final_cohface_rate_source_decomposition.csv,True,True,227291,COHFACE rate-source audit
post_run_audit,analysis/final_cohface_rate_source_decomposition.md,True,True,14394,COHFACE rate-source report
post_run_audit,analysis/final_mahnob_tailaligned_rate_source_decomposition.csv,True,True,737288,MAHNOB rate-source audit
post_run_audit,analysis/final_mahnob_tailaligned_rate_source_decomposition.md,True,True,14305,MAHNOB rate-source report
post_run_audit,analysis/final_mahnob_tailaligned_observability_failure_modes.csv,True,True,646648,MAHNOB observability taxonomy source
post_run_audit,analysis/final_mahnob_tailaligned_observability_failure_modes.md,True,True,7556,MAHNOB observability taxonomy report
post_run_audit,analysis/final_baseline_comparator_refresh.csv,True,True,12164,same-trial baseline/comparator refresh source
post_run_audit,analysis/final_baseline_comparator_refresh.md,True,True,15659,same-trial baseline/comparator refresh report
post_run_audit,analysis/final_statistical_comparison.csv,True,True,2328,paired comparison/effect-size source
post_run_audit,analysis/final_statistical_comparison.md,True,True,2836,paired comparison/effect-size report
post_run_audit,analysis/final_baseline_comparison_interpretation.md,True,True,1905,baseline/comparator interpretation
post_run_audit,analysis/final_submission_claim_boundary.md,True,True,1220,claim boundary after final comparison refresh
post_run_audit,analysis/final_reviewer_risk_response.md,True,True,1156,reviewer-facing risk response
post_run_audit,analysis/final_scientific_lessons.md,True,True,8091,final scientific lessons for discussion/limitations
tables,paper/tables_ready/T1_dataset_protocol_scope.csv,True,True,1466,main dataset scope table
tables,paper/tables_ready/T2_observation_class_map.csv,True,True,1935,observation-class table
tables,paper/tables_ready/T3_rate_main.csv,True,True,914,main rate table
tables,paper/tables_ready/T4_waveform_main.csv,True,True,772,main waveform table
tables,paper/tables_ready/T4b_waveform_strict.csv,True,True,1264,strict waveform companion
tables,paper/tables_ready/T4c_cycle_main.csv,True,True,1002,cycle companion
tables,paper/tables_ready/T5_component_ablation_evidence.csv,True,True,4818,component ablation evidence
tables,paper/tables_ready/T5_operator_alignment_ablation.csv,True,True,1070,operator-alignment ablation
tables,paper/tables_ready/T6_diagnostics_main.csv,True,True,664,diagnostic table
tables,paper/tables_ready/T7_observability_failure_taxonomy.csv,True,True,2154,observability taxonomy table
tables,paper/tables_ready/S_T_dataset_distribution_eda.csv,True,True,1007,four-dataset distribution EDA table
tables,paper/tables_ready/S_T_external_rr_manifest_summary.csv,True,True,265,external manifest summary
tables,paper/tables_ready/S_T_external_weak_evidence_audit.csv,True,True,1131,external weak-evidence audit table
tables,paper/tables_ready/S_T_rr_ablation_design_contract.csv,True,True,1982,ablation design contract
tables,paper/tables_ready/S_T_final_observation_class_comparison.csv,True,True,12671,supplementary observation-class baseline/comparator/PARH comparison
figures,paper/figures/F1_architecture.pdf,True,True,1405038,architecture figure
figures,paper/figures/F2_dataset_and_observation_regime.pdf,True,True,109114,dataset/observation regime figure
figures,paper/figures/F3_rate_observation_class_summary.pdf,True,True,17835,rate observation-class summary
figures,paper/figures/F4_waveform_overlay_grid.pdf,True,True,363584,current waveform overlay asset
figures,paper/figures/F5_mechanism_activation.pdf,True,True,20054,all-base full-dataset comparison ladder
figures,paper/figures/F6_failure_cases.pdf,True,True,54838,failure case figure
figures,paper/figures/S_F15_cohface_observation_class_overlay_atlas.pdf,True,True,142637,COHFACE observation-class supplementary overlay atlas
figures,paper/figures/S_F16_mahnob_observation_class_overlay_atlas.pdf,True,True,348768,MAHNOB-HCI observation-class supplementary overlay atlas
figures,paper/figures/S_F_rr_dataset_scope_map.pdf,True,True,15789,dataset scope supplementary figure
figures,paper/figures/S_F_dataset_distribution_eda.pdf,True,True,19565,four-dataset distribution supplementary figure
figures,paper/figures/S_F_external_weak_evidence_summary.pdf,True,True,14535,external weak-evidence supplementary figure
figures,paper/figures/S_F_component_ablation_evidence.pdf,True,True,20050,component ablation supplementary figure
manifests,paper/manifests/f4_allbase_same_trial_overlay_manifest.csv,True,True,8597,main same-trial all-base overlay manifest
manifests,paper/manifests/s_f15_cohface_observation_class_overlay_manifest.csv,True,True,5487,COHFACE observation-class overlay manifest
manifests,paper/manifests/s_f16_mahnob_observation_class_overlay_manifest.csv,True,True,5617,MAHNOB-HCI observation-class overlay manifest
manuscript,paper/main.tex,True,True,67044,paper source
manuscript,paper/main.pdf,True,True,2121809,compiled paper PDF
manuscript,paper/supplementary_information.tex,True,True,15106,supplementary information source
manuscript,paper/supplementary_information.pdf,True,True,3319151,compiled supplementary information PDF
submission,analysis/final_submission_package_audit.md,True,True,5621,final submission package audit
submission,analysis/final_submission_package_audit.csv,True,True,4986,machine-readable final submission package audit
submission,analysis/final_manual_review_checklist.md,True,True,2128,manual reviewer checklist before submission
